Name,(All),,,
Platform,(All),,,
,,,,
Row Labels,Sum of Global_Sales,Sum of NA_Sales,Sum of EU_Sales,Sum of JP_Sales
Role-Playing,43.96,12.78,11.04,18.78
Shooter,6.91,3.28,2.14,1.11
Simulation,11.33,5.42,3.05,2.38
Sports,17.45,7.78,3.78,5.08
Strategy,5.61,1.86,1.66,1.86
1997,200.98,94.75,48.32,48.87
Action,27.58,14.4,9.86,1.9
Adventure,4.96,2.36,1.34,1.05
Fighting,11.76,6.03,2.65,2.6
Misc,5.69,3.28,1.22,0.98
Platform,21.85,10.81,6.45,3.71
Puzzle,5.89,1.34,0.53,3.83
Racing,31.91,15.52,10.82,4.09
Role-Playing,21.79,5.31,3.44,11.56
Shooter,22.17,15,4.5,2.17
Simulation,9.65,1.9,1.29,5.91
Sports,30.02,15.55,5.47,7.59
Strategy,7.71,3.25,0.75,3.48
1998,256.45,128.36,66.9,50.04
Action,39.44,20.15,11.9,5.55
Adventure,9.05,3.17,2.52,2.91
Fighting,31.66,18.43,7.8,4.18
Misc,11.94,5.53,2.91,2.88
Platform,29.88,17.05,8.19,3.29
Puzzle,6.34,2.58,1.59,1.84
Racing,27.9,14.63,9.62,2.3
Role-Playing,28.08,9.16,6.44,11.33
Shooter,9.8,5.61,3.36,0.36
Simulation,7.11,2.79,0.77,3.36
Sports,41.79,24.7,10.21,5.06
Strategy,13.46,4.56,1.59,6.98
1999,251.25,126.06,62.67,52.34
Action,27.77,14.91,8.68,2.9
Adventure,7.6,3.32,2.78,1.11
Fighting,14.26,8.51,2.65,2.83
Misc,20.65,11.95,3.73,4.32
Platform,20.82,13,5.34,1.66
Puzzle,1.36,0.81,0.45,0.02
Racing,37.27,21.15,11.11,3.35
Role-Playing,49.09,17.29,11.17,18.7
Shooter,12.25,7.77,3.73,0.29
Simulation,11.44,3.41,1.33,6.12
Sports,30.29,15.09,7.03,6.83
Strategy,18.45,8.85,4.67,4.21
2000,201.58,94.5,52.77,42.77
Action,34.04,17.79,10.84,3.74
Adventure,2.98,1.01,0.69,1.11
Fighting,20.22,9.69,6.31,3.05
Misc,15.54,7.14,4.91,2.77
Platform,16.06,7.87,4.64,2.56
Puzzle,3.82,1.73,0.93,0.98
Racing,19.99,11,6.5,1.15
Role-Playing,29.03,7.2,4.21,15.8
Shooter,6.81,4,2.17,0.2
Simulation,3.38,1.11,0.77,1.27
Sports,41.19,22.75,9.77,6.36
Strategy,8.52,3.21,1.03,3.78
2001,331.47,173.98,94.89,39.86
Action,59.39,29.81,19.25,5.99
Adventure,9.12,3.92,3.67,1.07
Fighting,18.12,9.19,5,2.73
Misc,16.4,9.96,4.25,1.26
Platform,39.28,21.61,11.62,3.54
Puzzle,8,5.22,1.84,0.7
Racing,55.81,29.4,17.89,4
Role-Playing,22.06,7.46,4.14,9.55
Shooter,24.77,15.11,7.5,0.53
Simulation,19.54,10.3,4.35,3.77
Sports,51.43,28.8,14.14,3.9
Strategy,7.55,3.2,1.24,2.82
2002,395.51,216.19,109.75,41.76
Action,86.76,47.81,27.01,5.1
Adventure,11.05,4.72,2.51,3.23
Fighting,25.02,14,6.21,3.14
Misc,15.67,8.49,3.56,2.9
Platform,45.97,26.73,12.3,4.52
Puzzle,5.34,3.41,1.41,0.17
Racing,30.2,18.49,8.89,0.2
Role-Playing,45.13,20.43,9.39,13.64
Shooter,48.58,28.69,14.98,1.02
Simulation,10.81,6.01,3.53,0.75
Sports,65.42,35.17,19.24,4.69
Strategy,5.56,2.24,0.72,2.4
2003,357.8,193.61,103.81,34.2
Action,67.93,37.74,20.88,4.19
Adventure,2.14,0.96,0.57,0.43
Fighting,23.73,13.32,5.78,2.95
Misc,23.82,10.71,7.46,3.58
Platform,42.89,25.31,12.5,2.22
Puzzle,2.42,0.93,0.28,1.14
Racing,52.19,27.65,17.23,2.83
Role-Playing,30.26,13.8,5.7,9.63
Shooter,27.13,16.13,8.54,0.21
Simulation,21.19,12.06,6.47,1.46
Sports,56.11,31.45,15.96,4
Strategy,7.99,3.55,2.44,1.56
2004,419.05,222.51,107.28,41.65
Action,76.25,39.08,16.02,4.82
Adventure,8.69,4.95,2.13,1.23
Fighting,16.78,9.94,4.12,1.34
Misc,31.32,17.15,9.44,2.43
Platform,47.22,26.28,12.01,6.11
Puzzle,8.4,3.83,1.48,2.55
Racing,47.83,22.19,12.46,1.99
Role-Playing,53.95,21.56,16.73,13.49
Shooter,46.95,30.34,12.76,0.65
Simulation,10.83,5.74,3.56,0.58
Sports,63.67,38.52,14.86,4.42
Strategy,7.16,2.93,1.71,2.04
2005,458.31,242.15,121.11,54.27
Action,85.53,49.6,21.88,6.32
Adventure,8.44,5.05,2.03,0.74
Fighting,19.71,10.32,4.46,3.07
Misc,61.08,26.76,20.21,7.96
Platform,23.39,15.5,5.31,1.12
Puzzle,20.42,6.54,6.04,6.21
Racing,56.03,30.65,15.66,4.37
Role-Playing,28.42,12.22,4.9,9.22
Shooter,41.55,27.83,9.18,1.32
Simulation,48.92,19.16,16.28,9.02
Sports,59.51,36.06,14.06,3.54
Strategy,5.31,2.46,1.1,1.38
2006,518.22,262.13,127.89,73.74
Action,66.13,38.27,15.03,5.78
Adventure,11.37,5.11,2.58,2.62
Fighting,22.42,12.44,4.48,2.82
Misc,67.07,25.9,19.26,15.74
Platform,49.35,23.11,11.8,9.21
Puzzle,10.8,4.37,2.08,3.4
Racing,33.86,20.25,8.76,0.87
Role-Playing,57.37,24.22,7.95,19.83
Shooter,38.24,23.02,8.73,1.89
Simulation,21.56,10.6,6.12,2.38
Sports,135.83,72.78,40.06,8.69
Strategy,4.22,2.06,1.04,0.51
2007,605.37,309.89,157.82,60.29
Action,104.97,58.43,25.08,6.13
Adventure,24.1,12.89,5.45,3.55
Fighting,17.49,7.26,3.42,2.73
Misc,91.52,47.55,20.62,11.46
Platform,35.1,18.81,9.62,2.98
Puzzle,23.74,9.91,8.67,3.06
Racing,38.87,18.39,13.01,0.94
Role-Playing,43.45,19.6,8.21,12.43
Shooter,70.67,38.85,21.81,1.53
Simulation,48.42,26.83,13.82,3.02
Sports,97.78,47.59,26.3,9.59
Strategy,9.26,3.78,1.81,2.87
2008,671.79,348.69,181.14,60.25
Action,135.01,72.02,38.68,6
Adventure,24.71,12.83,5.55,4.34
Fighting,35.04,18.05,6.99,6.14
Misc,86.05,47.21,20.73,7.24
Platform,35.14,17.4,10.52,2.36
Puzzle,15.29,8.02,5,0.92
Racing,70.03,33.25,23.99,4.21
Role-Playing,59.03,24.98,10.9,17.51
Shooter,59.22,34.89,16.05,0.77
Simulation,46.09,26.62,11.9,3.66
Sports,94.63,48.61,26.68,5.37
Strategy,11.55,4.81,4.15,1.73
2009,658.88,335.55,187.94,61.89
Action,137.66,71.08,38.28,11.96
Adventure,20.2,9.85,5.44,3.35
Fighting,31.88,17.51,7.41,3.02
Misc,75.8,40.6,20.18,5.8
Platform,40.58,20.03,11.38,4.84
Puzzle,19.8,11.09,5.44,1.65
Racing,33.65,14.93,12.88,0.5
Role-Playing,47.29,18.78,8.08,17.07
Shooter,69.3,38.9,20.85,1.12
Simulation,33.03,17.35,11.51,0.95
Sports,137.33,70.85,41.67,9.81
Strategy,12.36,4.58,4.82,1.82
2010,590.59,300.65,171.42,59.49
Action,115.49,59.72,34.51,8.58
Adventure,16,6.08,4.92,3.6
Fighting,14.72,7.42,4.09,1.52
Misc,95.2,54.11,26.37,6.69
Platform,30.98,16.62,8.23,3.68
Puzzle,10.74,6.36,3.02,0.49
Racing,34.36,14.13,14.17,1.04
Role-Playing,69.57,28.27,13.18,23.67
Shooter,76.87,43.04,23.43,2.12
Simulation,21.55,11.02,6.67,1.66
Sports,91.34,48.11,28.36,4.42
Strategy,13.77,5.77,4.47,2.02
2011,507.79,238.79,162.97,53.07
Action,116.76,53.08,39.78,10.82
Adventure,15.61,5.84,4.5,3.83
Fighting,22.37,11.84,5.45,2.94
Misc,54.45,31.5,13.4,4.74
Platform,27.71,12.9,8.66,3.5
Puzzle,4.95,1.61,2.16,0.77
Racing,34.83,14.76,13.29,3.14
Role-Playing,52.85,19.78,13.77,14.43
Shooter,98.17,49.66,34.55,2.69
Simulation,15.13,7.4,5.17,1.23
Sports,56.12,27.17,19.39,3.08
Strategy,8.84,3.25,2.85,1.9
2012,355.84,153.26,114.59,51.8
Action,119.1,51.79,41.21,12.31
Adventure,5.8,1.78,1.21,2.42
Fighting,9.2,4.24,2.24,1.79
Misc,22.21,10.7,6.28,3.66
Platform,18.37,7.24,5.83,3.84
Puzzle,1.72,0.3,0.4,0.96
Racing,13.68,4.26,7.1,0.2
Role-Playing,46.91,17.6,11.56,14.4
Shooter,71.8,35.03,25.61,2.62
Simulation,13.36,3.11,3.63,5.89
Sports,30.42,16.26,8.57,2.6
Strategy,3.27,0.95,0.95,1.11
2013,361.24,153.65,121.55,47.69
Action,122.57,53.52,43.45,10.91
Adventure,6.07,1.5,1.76,2.22
Fighting,7.04,3.12,1.86,1.28
Misc,25.28,12.44,7.18,3.59
Platform,24.59,11.35,8.78,2.1
Puzzle,0.95,0.18,0.48,0.25
Racing,12.33,4.22,6.06,0.54
Role-Playing,44.42,12.93,8.8,19.88
Shooter,62.05,30.72,22.34,1.74
Simulation,8.62,2.23,3.62,2.21
Sports,41.23,19.14,14.79,2.15
Strategy,6.09,2.3,2.43,0.82
2014,331.51,132.27,122.74,39.69
Action,97.3,38.85,39.86,6.53
Adventure,5.61,1.8,1.82,1.38
Fighting,15.83,6.89,2.97,4.83
Misc,23.35,9.47,8.6,2.42
Platform,8.78,3.01,3.6,1.27
Puzzle,1.49,0.59,0.39,0.41
Racing,16.64,5.92,7.61,1.47
Role-Playing,45.57,13.65,10.96,17.75
Shooter,65.26,30.84,25.24,1.08
Simulation,5.59,1.27,3.56,0.38
Sports,45.1,19.82,17.91,1.61
Strategy,0.99,0.16,0.22,0.56
2015,268.05,106.86,96.72,34.09
Action,72.04,24.39,24.14,15.98
Adventure,8.15,2.89,3.35,1.04
Fighting,7.92,3.7,2.38,0.79
Misc,11.56,4.82,3.6,2.15
Platform,6.06,2.49,1.81,1.31
Puzzle,0.72,0.06,0.12,0.52
Racing,8.07,2.09,4.75,0.28
Role-Playing,37.66,13.93,12.93,6.8
Shooter,67.49,31.94,24.38,2.73
Simulation,5.64,1.2,2.47,1.6
Sports,40.9,18.77,15.81,0.73
Strategy,1.84,0.58,0.98,0.16
2016,130.1,44.93,51.22,19.31
Action,30.23,9.29,10.68,7.07
Adventure,3.83,0.95,1.32,1.18
Fighting,4.44,1.84,1.34,0.75
Misc,2.63,0.76,0.66,1.04
Platform,3.21,1.29,1.39,0.11
Puzzle,0.01,0,0.01,0
Racing,2.83,0.73,1.77,0.01
Role-Playing,18.12,5.89,4.28,6.61
Shooter,38.23,16.24,15.9,1.06
Simulation,1.89,0.16,1.27,0.33
Sports,23.53,7.54,12.01,0.92
Strategy,1.15,0.24,0.59,0.23
2017,0.06,0,0,0.06
Action,0.01,0,0,0.01
Role-Playing,0.05,0,0,0.05
2020,0.29,0.27,0,0
Simulation,0.29,0.27,0,0
N/A,98.96,59.15,24.46,6.7
Action,27.64,15.84,8.14,1.29
Adventure,4.23,3.74,0.34,0.06
Fighting,4.85,2.85,1.33,0.2
Misc,12.24,7.7,2.14,1.09
Platform,2.22,1.06,0.96,0.12
Puzzle,2.69,1.74,0.23,0.63
Racing,5.2,2.49,2.02,0.08
Role-Playing,3.5,0.77,0.47,2.02
Shooter,11.11,7.41,2.82,0.08
Simulation,2.02,1.52,0.17,0.16
Sports,21.61,13.23,5.46,0.61
Strategy,1.65,0.8,0.38,0.36
Grand Total,8920.3,4402.62,2424.67,1297.43
